Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude
116.0,213.0,265.0,187.0,40263.82422577886,1098.2361488538272,326.19925710312674,021,0,10,6198.521739130435,3940.0,364.0,372.0,378.0,56.0,60.483381410714124,2017-07-03,1477,0.0,1379.1214764118195,78.5155258178711,12.952645005549467,87.055222,27.167781
128.0,192.0,319.0,151.0,53522.568899776496,403.04029525687474,21.699836021872553,014,2482,50,4993.869565217391,1928.0,254.0,427.0,284.0,54.0,286.41751772766395,2017-07-05,590,0.0,1152.3627138137817,58.05797338485718,12.903675921252162,85.143062,27.878121
123.0,179.0,236.0,150.0,21660.36686995691,610.0476469980118,204.89436684911118,030,0,10,6452.826086956522,3452.0,377.0,387.0,283.0,57.0,114.01586321302642,2016-09-21,799,18.134923934936523,1109.6361982822418,54.17667102813721,19.695829348013167,87.322163,26.985606
121.0,221.0,207.0,188.0,45012.97039292599,126.7578308447074,684.829912027939,030,2375,50,4341.0,4925.0,447.0,346.0,589.0,66.0,302.19467804733915,2016-09-12,1524,0.0,1030.2692756652832,42.281707763671875,16.900137453409567,85.343049,28.18269
115.0,200.0,187.0,184.0,26669.45668996694,614.6359056602239,476.0668929624692,010,0,10,6183.869565217391,3499.0,360.0,453.0,444.0,58.0,136.6288776921422,2016-09-20,1472,36.44947814941406,1649.6545510292053,18.22473907470703,21.842949110123616,83.405823,28.101232
131.0,196.0,239.0,130.0,40524.722925339454,652.5060903670413,485.32357779430413,026,2482,40,5186.913043478261,2384.0,338.0,424.0,290.0,56.0,164.1705274192914,2016-09-06,682,0.0,2582.5741095542908,215.59936904907227,3.8503925294999846,84.069015,28.145796
95.0,227.0,209.0,256.0,52534.62583745259,205.64340989096112,9635.993329648805,024,2482,10,6826.521739130435,7594.0,501.0,290.0,919.0,53.0,254.73606218534314,2016-09-02,2448,50.81510925292969,2005.5379576683044,70.89141082763672,36.42211385367598,87.640957,27.513641
116.0,212.0,203.0,172.0,22406.470628170322,227.89047665544675,932.7863742641307,015,2510,10,5726.695652173913,5217.0,351.0,447.0,519.0,56.0,217.91014817487053,2016-09-04,1248,0.0,1298.644071340561,99.62008857727051,47.93142653653462,83.498645,28.377188
113.0,241.0,234.0,170.0,69668.27260870894,1326.2058481855154,126.85495452055085,014,2110,40,5626.347826086957,5622.0,354.0,412.0,584.0,58.0,332.9259788814978,2017-06-29,1761,0.0,1274.3809323310852,105.99793243408203,9.292366390387468,80.630002,29.60012
124.0,188.0,225.0,184.0,32554.181060795403,62.48929242566292,459.346753757468,014,2482,60,5286.347826086957,2169.0,328.0,447.0,330.0,57.0,270.0,2017-07-03,490,0.0,2079.545697927475,158.4735870361328,1.0513785477332755,84.307977,28.107142
116.0,216.0,206.0,195.0,30716.42468284096,1794.9267993770559,653.9063960086319,015,2482,30,6123.217391304348,3751.0,359.0,435.0,417.0,54.0,76.78460698989943,2016-09-18,1485,0.0,1584.8948225975037,32.095462799072266,15.813988433811847,83.583154,28.282927
117.0,227.0,222.0,182.0,39763.05889761043,219.75090016659658,419.35682183131763,006,0,30,6543.130434782609,4226.0,320.0,457.0,440.0,59.0,223.15485554920144,2013-06-18,1469,35.404815673828125,1994.4464490413666,208.49416160583496,27.038393038862296,82.553,28.2265
111.0,217.0,187.0,197.0,75492.93850794621,413.20981621460106,116.2084054317012,013,2538,30,5237.608695652174,8097.0,433.0,380.0,441.0,56.0,104.84869623211661,2017-07-02,1600,0.0,1624.391161441803,114.95891094207764,10.730453779883595,85.91050294,27.90362599
113.0,185.0,206.0,180.0,13678.324704695608,300.3217107235487,2147.354537150795,040,0,10,6776.869565217391,5661.0,335.0,459.0,411.0,58.0,59.77939412595303,2016-08-31,1181,8.51085090637207,1525.0219378471375,39.99922466278076,54.75247896201824,85.219709,27.503555
110.0,237.0,208.0,255.0,74755.7018777902,29.86543796313237,1141.3872190102165,030,2538,10,5773.217391304348,6707.0,456.0,336.0,571.0,56.0,194.42716671133272,2014-07-13,2048,13.492015838623047,1652.501609802246,112.56564331054688,36.33278485693849,85.6838,27.9411
99.0,251.0,158.0,217.0,73527.82290295002,647.598033539178,2337.820947302691,030,2538,10,5490.782608695652,6085.0,457.0,385.0,838.0,58.0,260.59560575451314,2011-07-15,2756,49.17172622680664,2016.6012334823608,147.51517868041992,30.72743048105607,85.6846,27.9512
121.0,232.0,218.0,174.0,3622.7801209686745,1662.885501693683,11.752202022848957,010,2341,40,4631.173913043478,3231.0,325.0,457.0,399.0,59.0,0.0,2007-08-24,1489,0.0,1624.0142521858215,0.0,1.8543341688414132,82.6167,28.6167
117.0,233.0,254.0,179.0,66624.26001871019,918.2678754566493,468.95435010784803,020,2074,40,5325.391304347826,5866.0,372.0,374.0,512.0,60.0,243.18219337503257,2017-04-21,1889,5.6212544441223145,1261.85311794281,18.061901569366455,21.538559528686456,81.57140363,29.16952271
116.0,210.0,215.0,171.0,54503.85099390598,120.09624673494929,1803.953956617747,013,2090,10,6902.913043478261,3676.0,326.0,459.0,452.0,60.0,339.03759672554565,2007-09-15,1300,0.0,1272.8374223709106,0.0,5.938012432615523,80.4333,29.5333
120.0,229.0,231.0,157.0,62561.117281418105,495.5920361936931,297.18126465928714,013,2090,40,6100.913043478261,3933.0,294.0,475.0,440.0,59.0,272.3714194977384,2007-08-12,1389,56.559139251708984,1386.4249666929245,104.38212394714355,21.366621006782168,80.50476155,29.57990613
114.0,260.0,264.0,200.0,55063.43455860883,1602.6557687302438,392.65715852690204,013,2090,30,4954.217391304348,4062.0,357.0,379.0,557.0,60.0,230.42017190916687,2013-06-17,2006,215.3517303466797,1959.8561372756958,258.1551456451416,25.76762795279429,80.4687,29.5193
119.0,215.0,224.0,181.0,50162.21611270506,612.0923745469261,875.173734164458,022,2110,10,5853.826086956522,4261.0,342.0,435.0,496.0,61.0,297.62561858121626,2014-07-20,1102,34.580894470214844,832.4654182195663,73.35424423217773,32.14487067112154,80.9871,29.2777
124.0,240.0,233.0,154.0,68858.6927697391,905.8374026184221,1363.3897378293489,202,2074,10,5925.826086956522,4454.0,360.0,407.0,443.0,60.0,90.0,2007-07-12,1287,26.829954147338867,1099.598249912262,81.16708850860596,10.52148765587876,81.3098,29.356
114.0,249.0,266.0,168.0,55189.75241740028,1616.3572087170826,181.46633835860948,013,2090,30,4862.565217391304,4270.0,366.0,368.0,659.0,60.0,157.32081458120564,2011-07-21,2006,0.0,1573.8998662531376,146.5431671142578,10.923090157895075,80.469,29.5194
113.0,223.0,225.0,149.0,70553.39688717402,120.85225964987569,876.239492979007,010,2074,30,6277.304347826087,4910.0,352.0,423.0,546.0,59.0,259.05134000719494,2009-12-23,1642,0.0,1343.6771793365479,0.0,40.44111910061709,80.94,29.48
118.0,209.0,254.0,132.0,40107.68456207933,646.1799867635748,904.8790950601007,014,2110,10,6500.304347826087,4076.0,331.0,416.0,504.0,58.0,344.4106762020573,2013-06-17,1232,206.35032653808594,1816.1219412088394,248.6520538330078,34.56865984734127,81.3,29.0508
125.0,230.0,218.0,186.0,60579.192963812944,902.0913636747426,231.86933057227318,201,2074,30,4672.434782608696,5722.0,388.0,394.0,595.0,60.0,200.11675068982237,2013-06-18,1625,20.321792602539062,1565.279020667076,164.40260887145996,23.315422838687347,81.6865,29.1145
123.0,230.0,229.0,152.0,40724.76307483954,191.09581300027057,1203.8027701929364,016,0,50,5153.0,3175.0,338.0,433.0,352.0,62.0,172.79746065353794,2013-06-18,1326,26.22059440612793,1605.3265581130981,178.2294921875,8.354101295723018,82.2801,28.4513
127.0,222.0,231.0,167.0,22285.78667397685,110.27168872632653,726.6135102788384,005,0,10,5743.913043478261,2502.0,302.0,467.0,403.0,63.0,268.85243914139147,2010-10-02,852,0.0,1289.680820941925,0.0,38.94799027807117,82.314,28.1906
121.0,229.0,231.0,180.0,63697.028110720625,1444.2308835338085,885.747709273034,024,2074,30,4949.695652173913,5583.0,390.0,380.0,553.0,62.0,95.39186179887125,2007-09-02,1536,0.0,1260.039227962494,39.20812225341797,34.57010202208612,81.6018,29.184
118.0,215.0,224.0,165.0,33903.91106236083,299.5139547904869,1400.0826390133113,015,2341,10,6740.695652173913,2452.0,358.0,418.0,366.0,60.0,134.43553361259453,2007-03-21,1277,0.0,1370.9967299252748,0.0,42.042659809341345,82.1667,28.3667
113.0,261.0,226.0,207.0,17086.07923087391,2511.1567221832215,949.9209378196823,010,0,10,5425.913043478261,3619.0,333.0,440.0,492.0,58.0,270.0,2014-06-19,1665,0.0,1542.31228017807,33.946048736572266,8.344496890322205,82.68,28.0054
116.0,236.0,199.0,159.0,19301.031684889567,1464.7260595176836,173.83156386312314,014,0,50,3856.521739130435,2538.0,372.0,429.0,412.0,57.0,339.30557533948837,2007-08-31,1533,23.239290237426758,1656.516726732254,84.25187015533447,2.971717199599078,83.25,28.0667
132.0,269.0,265.0,177.0,16281.429220571432,1578.1453236717814,130.11814072928672,001,0,50,4440.086956521739,1803.0,242.0,492.0,232.0,66.0,200.69295606245183,2013-07-14,633,17.44080924987793,2212.8434149622917,99.58710289001465,2.971688478397604,82.402,28.0583
109.0,247.0,175.0,167.0,20319.219131240603,1566.3685327935689,23.234352939341182,014,0,10,5546.565217391304,3026.0,371.0,454.0,456.0,58.0,225.34006485841772,2007-07-28,1648,0.0,1724.5872256606817,140.1165771484375,32.81560829359579,83.2519,28.0764
119.0,223.0,236.0,185.0,45087.91971501571,1736.3726767549622,993.5400691785335,016,2328,10,5750.130434782609,3287.0,280.0,484.0,361.0,61.0,311.2141308905722,2013-06-18,1154,47.30695343017578,1827.1022596359253,224.9401397705078,22.66881374330673,81.7086,28.8519
110.0,229.0,231.0,189.0,869.0755279507,1595.4381987568229,3771.0454104211312,011,0,10,6032.739130434783,3934.0,326.0,442.0,441.0,58.0,297.09314818664393,2007-08-24,1553,32.729610443115234,1318.1189448833466,32.729610443115234,21.354302919917643,83.0833,27.9167
121.0,220.0,210.0,175.0,29809.680378871904,27.931770930644454,91.21632498480876,014,2328,30,5539.478260869565,3826.0,390.0,400.0,563.0,60.0,157.26608116093885,2014-08-13,1694,26.340776443481445,1461.0769364833832,42.76608657836914,27.7686134636707,82.2494,28.9446
113.0,261.0,226.0,207.0,17086.07923087391,2511.1567221832215,949.9209378196823,010,0,10,5425.913043478261,3619.0,333.0,440.0,492.0,58.0,270.0,2014-06-19,1665,0.0,1542.31228017807,33.946048736572266,8.344496890322205,82.68,28.0054
121.0,208.0,217.0,176.0,37611.603647166194,949.5028363678695,682.9764515032892,018,2328,30,5974.782608695652,2392.0,417.0,366.0,406.0,63.0,150.3256102635004,2011-08-31,1131,22.875871658325195,1685.1407838761806,45.75174331665039,8.477501874994212,82.2345,28.6572
113.0,217.0,227.0,163.0,17783.977479761244,147.96558238556403,1024.6424671911466,014,0,10,6393.782608695652,3732.0,349.0,425.0,431.0,59.0,305.7105405777903,2007-08-24,1377,34.375308990478516,1541.74050283432,22.916872024536133,31.388891753891365,83.0971,28.0877
122.0,219.0,279.0,163.0,26708.47912675677,1404.9122893333972,816.820290403327,005,0,10,6410.913043478261,2982.0,318.0,403.0,408.0,61.0,304.03094989728373,2014-08-16,1020,0.0,1719.2460265159607,163.85549545288086,16.13266857838944,81.64645269,28.61209203
112.0,262.0,231.0,129.0,19058.850793454647,802.9050672539485,5834.050322521043,010,2328,10,6668.304347826087,6190.0,369.0,400.0,847.0,58.0,67.25682431019574,2011-09-05,2607,0.0,1421.8703484535217,52.456932067871094,42.65079030533615,82.4728,28.7773
,,,,37823.25411043643,534.4995824606464,48.33739671117381,028,0,50,2688.217391304348,,,,,,0.0,2011-07-21,1302,0.0,1274.2499817609787,119.36184120178223,0.9274099368729609,85.3183,27.703
119.0,199.0,217.0,200.0,49252.30924637178,1539.4231850066453,8.184346927657629,014,2482,10,5390.652173913043,3831.0,294.0,489.0,396.0,58.0,24.367530396546382,2012-08-15,1084,22.822708129882812,1617.9226443767548,76.3066816329956,10.076744277700433,84.8982,27.9783
,190.0,299.0,147.0,55014.34298273859,1082.2982352896793,1.67898760985218,014,2482,10,4739.217391304348,1726.0,274.0,427.0,,54.0,228.52852163182158,2011-09-25,552,0.0,1405.5020306110382,91.31673049926758,4.194055583717012,85.149,27.891
113.0,224.0,196.0,197.0,64962.53736755605,401.76799136213884,1999.708505255775,030,2538,30,5641.086956521739,5348.0,451.0,353.0,392.0,57.0,65.51883603780148,2014-08-27,1411,42.001708984375,1777.7695093154907,132.77210235595703,33.5874650067473,85.5107,27.8868
114.0,220.0,219.0,198.0,47397.89921235623,1472.2288629544428,173.2182506340951,037,2482,30,4575.0,7760.0,343.0,438.0,375.0,56.0,70.51784230866457,2013-06-18,1581,41.27529525756836,1650.544858455658,68.67481803894043,16.236755760134724,85.2114,27.8196
131.0,207.0,207.0,167.0,3054.9879280404907,718.3484219425742,158.12770682811572,028,4660,40,7025.521739130435,2024.0,365.0,428.0,229.0,58.0,123.65306887008171,2007-08-19,461,30.083633422851562,1717.9819440841675,189.98860359191895,5.008244358293066,85.0249,27.4211
116.0,198.0,223.0,140.0,12843.387446264105,629.610970905203,102.54389133075243,039,2482,10,6289.521739130435,3395.0,338.0,439.0,420.0,55.0,159.3319184609143,2007-09-05,888,25.0931339263916,1920.2464205622673,96.77482986450195,37.902790567431815,84.25,27.9167
117.0,208.0,247.0,184.0,26691.670185079915,188.07189483506667,238.8923386647376,036,0,40,3971.478260869565,3341.0,367.0,387.0,287.0,56.0,209.4249289050634,2014-07-13,1530,0.0,1452.267510175705,135.90653038024902,8.456905124732407,85.34,27.5687
120.0,205.0,289.0,140.0,24937.55673763356,1639.2204121585132,994.1580113475916,033,0,10,6245.652173913043,5234.0,336.0,375.0,364.0,58.0,305.24306892764616,2007-09-10,1240,7.379386901855469,1685.155700802803,56.285377502441406,41.011428408190206,85.9667,27.2667
111.0,174.0,257.0,145.0,12275.395356908222,1149.0944535272656,155.69967198131562,011,2482,10,7098.260869565217,2833.0,286.0,456.0,398.0,54.0,203.32516363761937,2011-07-01,1039,19.41845703125,1701.3405833244324,137.23189544677734,20.314479757153514,84.4167,27.9333
105.0,300.0,135.0,234.0,57836.07965350165,1122.2446154786267,5290.346449382014,024,2570,100,1680.4347826086957,5536.0,531.0,334.0,653.0,65.0,154.090052814416,2011-07-21,4397,28.397964477539062,1689.069776058197,98.35961151123047,32.206292526569634,85.6352,28.0889
,,,,41669.16039120716,1271.163197235251,41.44430565607401,028,0,50,2424.2608695652175,,,,,,102.4770244066756,2013-05-31,1341,0.0,1552.1109335422516,110.0761489868164,4.284976840209067,85.3305,27.7366
122.0,199.0,298.0,205.0,35475.93215759344,1718.290526572032,278.6075248112017,026,0,30,5289.347826086957,3196.0,332.0,370.0,348.0,59.0,95.25100321713795,2007-09-03,1273,0.0,1186.458182938397,48.69792175292969,27.95203443862712,86.087,27.3258
108.0,282.0,232.0,231.0,22445.989733607235,244.16593205921234,745.6051511198706,021,0,10,5550.0,4869.0,342.0,425.0,639.0,55.0,74.52004924757759,2007-09-07,2095,9.90052318572998,1527.6225320100784,77.29489803314209,16.87013867295306,85.1114,27.5964
