Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude
115,180,205,183,8489.540052818902,441.06995976141667,1352.812228178987,014,2482,10,6394.347826086957,5067,296,499,549,55,321.9379980028937,2024-01-01,814,0,1549.088506937027,5.856225490570068,28.12714333274371,84.48206358183933,27.85426366363796
120,161,207,156,8588.17027023847,192.45099226525784,1137.6164474403904,014,2482,10,6235.086956521739,4551,294,499,392,56,331.2600716812163,2024-01-01,753,0,1549.088506937027,5.856225490570068,31.351821903475273,84.48206358183933,27.85526366363796
120,161,207,156,8588.17027023847,192.45099226525784,1137.6164474403904,014,2482,10,6235.086956521739,4551,294,499,392,56,199.18893772094773,2024-01-01,762,0,1549.088506937027,5.856225490570068,24.019759168532033,84.48206358183933,27.856263663637957
120,161,207,156,8692.794166025747,56.168084331388954,927.7855885796174,014,2482,10,5637.652173913043,4551,294,499,392,56,154.13832215020838,2024-01-01,808,0,1549.088506937027,5.856225490570068,20.695448056287667,84.48206358183933,27.85726366363796
120,177,235,167,8692.794166025747,56.168084331388954,927.7855885796174,014,2482,10,5637.652173913043,2922,296,468,386,55,154.5340745958443,2024-01-01,830,0,1549.088506937027,5.856225490570068,18.812251503367943,84.48206358183933,27.85826366363796
120,177,235,167,8803.198051734702,163.64172913405648,717.9546372269115,027,2482,30,5517.521739130435,2922,296,468,386,55,188.39254228684484,2024-01-01,872,0,1549.088506937027,5.856225490570068,20.62377389682176,84.48206358183933,27.859263663637957
116,174,240,158,8803.198051734702,163.64172913405648,717.9546372269115,027,2482,10,5517.521739130435,4519,301,459,401,55,183.80660374760265,2024-01-01,920,0,1549.088506937027,5.856225490570068,28.88117845283405,84.48206358183933,27.86026366363796
116,174,240,158,8919.167300198695,1.4550687638868718,490.3172180383224,027,2482,10,5806.695652173913,4519,301,459,401,55,161.37988739820221,2024-01-01,993,0,1549.088506937027,5.856225490570068,38.75921273282765,84.48206358183933,27.861263663637956
113,177,241,179,8919.167300198695,1.4550687638868718,490.3172180383224,027,2482,10,5806.695652173913,3917,295,463,399,55,175.15094989807798,2024-01-01,1075,0,1549.088506937027,5.856225490570068,33.01728897547966,84.48206358183933,27.862263663637957
113,177,241,179,8919.167300198695,1.4550687638868718,490.3172180383224,027,2482,10,5806.695652173913,3917,295,463,399,55,281.1147118622525,2024-01-01,1083,0,1549.088506937027,5.856225490570068,53.34011636909494,84.48206358183933,27.86326366363796
113,180,240,185,9040.487749470267,166.55193912201284,241.70052550187506,027,2482,10,5470.521739130435,3580,297,463,483,55,295.243711042682,2024-01-01,1062,0,1549.088506937027,5.856225490570068,31.27123504342137,84.48206358183933,27.864263663637956
113,180,240,185,9040.487749470163,166.5519391216802,241.70052550230807,027,2482,10,5470.521739130435,3580,297,463,483,55,246.69891163630638,2024-01-01,1093,0,1549.088506937027,5.856225490570068,37.86664097973461,84.48206358183933,27.86526366363796
112,199,211,181,9166.946948632882,379.7636582024838,6.916276157671335,027,2482,10,6153.695652173913,3634,348,441,394,55,241.07825289277588,2024-01-01,1104,0,1549.088506937027,5.856225490570068,9.501096903242924,84.48206358183933,27.86626366363796
