Geology_Nepal_ID,Geology_geo8apg_ID,date,longitude,latitude,Dist_Fault,Dist_River,Dist_Road,Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Nitrogen,Organic_Carbon_Density,Organic_Carbon_Stock,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,LULC,NDVI,precipitation,rainfall_30d,rainfall_7d,aspect,elevation,slope
023,2719,2016-08-09,88.11,26.7903,3979.391018105596,788.0809087016197,3224.7707940878136,119.0,225.0,245.0,174.0,2768.0,400.0,71.0,380.0,375.0,424.0,54.0,10,6554.217391304348,24.237546920776367,731.1395931243896,26.74897575378418,187.0952053968747,628,23.770736689519552
023,2780,2016-08-09,88.1389,26.7973,3695.1554713886617,358.5108675168579,3977.668131507944,123.0,222.0,248.0,169.0,2530.0,395.0,72.0,380.0,372.0,456.0,55.0,10,6820.695652173913,24.237546920776367,731.1395931243896,26.74897575378418,46.97960657628533,546,28.621956767489664
005,2719,2012-10-01,88.0499,26.8016,7195.349747014983,1140.7617617034782,1643.1441784239282,115.0,209.0,227.0,165.0,3918.0,339.0,51.0,369.0,404.0,412.0,53.0,10,6420.478260869565,40.86701202392578,266.1207981109619,19.668407440185547,307.54610145015954,836,39.470353919664646
026,2719,2009-08-19,88.125,26.8042,4851.5201194953725,853.4730033384823,5101.698419687337,118.0,237.0,262.0,178.0,3392.0,402.0,68.0,375.0,362.0,431.0,55.0,10,6416.478260869565,32.404659271240234,940.0745334625244,188.8103065490723,205.3613075870211,997,24.974729701318605
041,2719,2015-07-01,88.0839,26.8366,9564.534453383074,2098.670835906278,229.843722317736,103.0,243.0,284.0,175.0,4583.0,382.0,51.0,379.0,337.0,611.0,53.0,10,6638.086956521739,0.0,484.8264675140381,176.84934997558594,255.01390332469907,1740,20.586611544094787
026,0,2013-09-06,87.3303,26.8722,9625.101286891178,728.3283267983827,509.14901212747753,120.0,174.0,239.0,154.0,3219.0,302.0,41.0,384.0,377.0,310.0,58.0,60,6465.739130434783,0.0,301.48560070991516,92.18096590042114,111.62594427815324,761,27.792850636704916
026,0,2016-10-13,87.3215,26.8772,9879.730474949933,1457.211840713719,249.807135932546,125.0,178.0,273.0,184.0,4129.0,311.0,33.0,379.0,349.0,332.0,59.0,50,6445.565217391304,0.0,217.37716007232663,38.514620780944824,35.957908750397046,1026,18.77673781278636
045,2719,2015-09-03,87.9172,26.8797,18856.37582504996,558.3166032787781,395.7339051438354,123.0,194.0,251.0,175.0,4442.0,362.0,65.0,352.0,397.0,346.0,56.0,50,6949.260869565217,46.49164962768555,529.3176622390747,69.10803890228271,177.7860683702082,642,25.163951501517563
045,2719,2016-06-14,87.9125,26.8823,19411.561280603804,625.3595872645917,246.27538189653075,121.0,176.0,241.0,173.0,3475.0,347.0,57.0,349.0,410.0,352.0,54.0,50,6306.652173913043,0.0,211.76244354248047,52.61955642700195,170.90051086555852,786,6.5465457404153655
026,0,2013-09-06,87.2773,26.8988,11152.413686574551,538.7682101557477,1114.1132979980025,118.0,177.0,205.0,152.0,2615.0,313.0,46.0,384.0,411.0,327.0,59.0,10,6786.478260869565,0.0,195.03822302818295,56.89894437789917,17.43069912085361,638,22.9853103677439
